index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1618,Keir 2017,Italy,Toscana,Tua Rita,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/L-qeUNp7Qry0uhRPYxthLw_pb_x600.png,68.8107,56.6913,17.168770000000002,81.3924,black fruit,oaky,spices
1619,Pinot Fin Bourgogne 2019,France,Bourgogne,Domaine Arnoux-Lachaux,Red wine,Pinot Noir,https://images.vivino.com/thumbs/xFiKY1VySyGfCnA-rvYmKw_pb_x600.png,40.2451,31.589,19.0902,70.274,red fruit,earthy,oaky
1620,Ars Nova 2008,Spain,Navarra,Bodega Tandem,Red wine,Blend,https://images.vivino.com/thumbs/VcKmnmb-QeCbknkTfHnYyA_pb_x600.png,69.6026,53.5335,13.74366,54.9393,oaky,black fruit,earthy
1621,La Barbarine Côte-Rôtie 2009,France,Côte-Rôtie,Domaine Yves Gangloff,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/jKRby7mTRDGDIyE51BFPmw_pb_x600.png,75.4375,70.9433,13.36786,70.2954,black fruit,earthy,spices
1622,Core Campania Rosso 2017,Italy,Campania,Montevetrano,Red wine,Aglianico,https://images.vivino.com/thumbs/vQbaeouBQWunHfH0_pT8IA_pb_x600.png,87.3524,53.4133,30.8448,38.0847,black fruit,oaky,earthy
1623,Côtes du Rhône 2010,France,Côtes-du-Rhône,Domaine de la Fertine,Red wine,Blend,https://images.vivino.com/thumbs/024h1ddqprqbf_150x200.jpg,75.641,53.3654,정보 없음,62.5,black fruit,red fruit,spices
1624,La Pialade Côtes du Rhône Rouge 2009,France,Côtes-du-Rhône,Château Rayas,Red wine,Blend,https://images.vivino.com/thumbs/WRi9FBupQw6ciJNFYgOTzw_pb_x600.png,53.7318,45.643,20.1294,61.8554,red fruit,earthy,spices
1625,Lacryma Christi del Vesuvio Rosso 2006,Italy,Vesuvio,Mastroberardino,Red wine,Piedirosso,https://images.vivino.com/thumbs/5iAIn74dTLqlomc7sJSekQ_pb_x600.png,80.3001,47.1893,26.7276,44.1311,red fruit,earthy,black fruit
1626,Narses 2021,Italy,Campania,La Bollina,Red wine,Aglianico,https://images.vivino.com/thumbs/oVvOMZBNROubtup4NT2T2g_pb_x600.png,89.8956,45.4388,37.218199999999996,31.5014,black fruit,red fruit,earthy
1627,Q Cabernet Sauvignon 2006,Argentina,Uco Valley,Zuccardi,Red wine,Cabernet Sauvignon,https://images.vivino.com/thumbs/AXDlg3plSnOxHdYdLHfRdQ_pb_x600.png,71.2413,62.91,16.91556,53.8033,black fruit,oaky,spices
